fund_code,name,std_price,set_date,type,type_detail,set_amount,risk_grade,risk_grade_txt,company_name
K55223DE5803,KB타겟리턴성장형OCIO증권투자신탁(혼합-재간접형)C-퇴직e,1060.73,20210507,해외자산배분,해외혼합형,25,3,다소 높은 위험,케이비자산운용
KR5301754853,미래에셋인사이트증권자투자신탁 1(주식혼합)종류A,2136.01,20071031,해외자산배분,해외혼합형,563,2,높은 위험,미래에셋자산운용
K55232E31310,NH-AmundiSignatureOCIO인컴형증권자투자신탁(H)[혼합-재간접형]ClassCe,1052.07,20230612,해외자산배분,해외혼합형,3,3,다소 높은 위험,엔에이치아문디자산운용
K55210D50680,신한글로벌스노우볼알파증권투자신탁[주식혼합](종류C-e),1219.17,20200619,해외자산배분,해외혼합형,0,3,다소 높은 위험,신한자산운용
K55232E30502,NH-AmundiSignatureOCIO성장형증권자투자신탁(H)[혼합-재간접형]ClassCf,1123.01,20230607,해외자산배분,해외혼합형,1,2,높은 위험,엔에이치아문디자산운용
K55206CY3087,키움불리오글로벌멀티에셋EMP증권자투자신탁(H)[혼합-재간접형],1016.11,20191209,해외자산배분,해외혼합형,221,2,높은 위험,키움투자자산운용
K55223CX6643,KB올에셋AI솔루션EMP증권자투자신탁(혼합-재간접형)(H)C-퇴직,1163.29,20200609,해외자산배분,해외혼합형,4,3,다소 높은 위험,케이비자산운용
K55303CX5416,마이다스글로벌블루칩배당인컴혼합자산자투자신탁(UH)C-P2,1906.14,20191203,해외자산배분,해외혼합형,0,2,높은 위험,마이다스에셋자산운용
K55210B57846,신한연금저축POP펀드셀렉션40증권자투자신탁[채권혼합-재간접형](종류C-e),1230.48,20150805,해외자산배분,해외혼합형,2,4,보통 위험,신한자산운용
K55223DE5829,KB타겟리턴성장형OCIO증권투자신탁(혼합-재간접형)S-퇴직,1061.04,20220425,해외자산배분,해외혼합형,0,3,다소 높은 위험,케이비자산운용
K55213DI3350,한화OCIO솔루션증권투자신탁(혼합-재간접형),1044.18,20210426,해외자산배분,해외혼합형,92,3,다소 높은 위험,한화자산운용
K55214CS0677,유진챔피언글로벌월배당인컴ETF혼합자산투자신탁[재간접형],1176.42,20190628,해외자산배분,해외혼합형,11,4,보통 위험,유진자산운용
K55363BR2385,트러스톤백년대계EMP30자산배분증권자투자신탁[채권혼합-재간접형]Cp클래스,1104.63,20170703,해외자산배분,해외혼합형,1,4,보통 위험,트러스톤자산운용
K55213E15909,한화글로벌매크로퀀트EMP증권자투자신탁(혼합-재간접형)J-e,1123.88,20230725,해외자산배분,해외혼합형,0,3,다소 높은 위험,한화자산운용
K55223CX6668,KB올에셋AI솔루션EMP증권자투자신탁(혼합-재간접형)(H)C-퇴직e,1163.27,20200609,해외자산배분,해외혼합형,9,3,다소 높은 위험,케이비자산운용
K55363BH0464,트러스톤파운트로보자산배분증권자투자신탁[주식혼합-재간접형]Cp2-E클래스,1330.79,20170821,해외자산배분,해외혼합형,5,4,보통 위험,트러스톤자산운용
K55105DW4229,삼성평생알아서분할매매EMP증권투자신탁[혼합-재간접형]C-Pe,1199.11,20220829,해외자산배분,해외혼합형,1,3,다소 높은 위험,삼성자산운용
K55230BI4003,슈로더아시안에셋인컴증권투자신탁(주식혼합-재간접형)종류C-Pe,1065.61,20161018,해외자산배분,해외혼합형,1,4,보통 위험,슈로더투자신탁운용
K55216BJ6070,DB뉴욕라이프글로벌자산관리EMP증권자투자신탁(H)[주식혼합-재간접형]종류C,1156.36,20161208,해외자산배분,해외혼합형,5,2,높은 위험,디비자산운용
K55210D50730,신한글로벌스노우볼알파증권투자신탁[주식혼합](종류C-pe),1201.61,20200619,해외자산배분,해외혼합형,0,3,다소 높은 위험,신한자산운용
K55105DW4203,삼성평생알아서분할매매EMP증권투자신탁[혼합-재간접형]_Cf,1201.28,20220825,해외자산배분,해외혼합형,15,3,다소 높은 위험,삼성자산운용
K55223DV7667,KB타겟리턴적극형OCIO증권투자신탁(혼합-재간접형)(운용),1106.49,20220810,해외자산배분,해외혼합형,92,3,다소 높은 위험,케이비자산운용
K55105BU3332,삼성평생소득TIF40증권자투자신탁H[채권혼합-재간접형]_Cpe(퇴직연금),1180.15,20170808,해외자산배분,해외혼합형,87,4,보통 위험,삼성자산운용
K55216BJ5809,DB뉴욕라이프글로벌자산관리EMP증권자투자신탁(UH)[주식혼합-재간접형]종류A,1365.99,20190610,해외자산배분,해외혼합형,0,2,높은 위험,디비자산운용
K55301CK8128,미래에셋AI글로벌모멘텀혼합자산자투자신탁(재간접형)종류C-P2,1191.78,20191010,해외자산배분,해외혼합형,0,2,높은 위험,미래에셋자산운용
K55214DT2325,유진챔피언플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-F,1055.56,20220502,해외자산배분,해외혼합형,2,3,다소 높은 위험,유진자산운용
K55105DW4120,삼성평생알아서분할매매EMP증권투자신탁[혼합-재간접형],1203.46,20220825,해외자산배분,해외혼합형,47,3,다소 높은 위험,삼성자산운용
K55303CX5259,마이다스글로벌블루칩배당인컴혼합자산자투자신탁(H)C-Pe1,1573.50,20191113,해외자산배분,해외혼합형,6,2,높은 위험,마이다스에셋자산운용
KR5301985747,미래에셋인사이트증권자투자신탁 1(주식혼합)종류C 5,2098.23,20071031,해외자산배분,해외혼합형,85,2,높은 위험,미래에셋자산운용
K55223E37720,KB드림스타자산배분안정형증권투자신탁(혼합-재간접형)(운용),1106.15,20231004,해외자산배분,해외혼합형,63,4,보통 위험,케이비자산운용
K55223DE5761,KB타겟리턴성장형OCIO증권투자신탁(혼합-재간접형)S-P,1060.98,20220422,해외자산배분,해외혼합형,0,3,다소 높은 위험,케이비자산운용
K55366C87700,하이다이나믹하이인컴증권투자신탁(주식혼합-재간접형)(C3),1153.36,20180601,해외자산배분,해외혼합형,0,3,다소 높은 위험,하이자산운용
K55301DW7778,미래에셋연금동행중립형증권투자신탁(채권혼합-재간접형)종류F,1112.10,20220902,해외자산배분,해외혼합형,2,4,보통 위험,미래에셋자산운용
K55213E15784,한화글로벌매크로퀀트EMP증권자투자신탁(혼합-재간접형)C-f,1136.25,20230417,해외자산배분,해외혼합형,55,3,다소 높은 위험,한화자산운용
K55216BJ6294,DB뉴욕라이프글로벌자산관리EMP증권자투자신탁(UH)[주식혼합-재간접형]종류C,1366.08,20190610,해외자산배분,해외혼합형,1,2,높은 위험,디비자산운용
K55237B91277,한화글로벌매크로증권자투자신탁(주식혼합-재간접형)S-P클래스,1162.23,20151216,해외자산배분,해외혼합형,0,4,보통 위험,한화자산운용
K55223E39528,KB드림스타자산배분안정형증권투자신탁(혼합-재간접형)C-퇴직e,1101.70,20231010,해외자산배분,해외혼합형,25,4,보통 위험,케이비자산운용
K55232E31120,NH-AmundiSignatureOCIO안정형증권자투자신탁(UH)[혼합-재간접형],1140.72,20230607,해외자산배분,해외혼합형,124,4,보통 위험,엔에이치아문디자산운용
K55234DU1874,IBK콴텍디지털포트EMP증권투자신탁[혼합-재간접형]종류C,1143.69,20220901,해외자산배분,해외혼합형,74,3,다소 높은 위험,아이비케이자산운용
K55213DU6845,한화LIFEPLUSTIF혼합자산자투자신탁(재간접형)S,1037.48,20220715,해외자산배분,해외혼합형,0,3,다소 높은 위험,한화자산운용
K55206CY3285,키움불리오글로벌멀티에셋EMP증권자투자신탁(UH)[혼합-재간접형]ClassC-e,1193.03,20200302,해외자산배분,해외혼합형,6,2,높은 위험,키움투자자산운용
K55105BI4393,삼성글로벌리얼리턴증권자투자신탁H[주식혼합-재간접형]_S-P,1126.83,20190717,해외자산배분,해외혼합형,0,3,다소 높은 위험,삼성자산운용
K55214DT2382,유진챔피언플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-Re,1049.73,20220530,해외자산배분,해외혼합형,7,3,다소 높은 위험,유진자산운용
K55105BQ3601,삼성평생소득TIF20증권자투자신탁H[채권혼합-재간접형]_S-P,1013.80,20170621,해외자산배분,해외혼합형,0,5,낮은 위험,삼성자산운용
K55105BQ3494,삼성글로벌타겟인컴20증권자투자신탁H[채권혼합-재간접형]_Ae,1000.00,20170803,해외자산배분,해외혼합형,0,5,낮은 위험,삼성자산운용
KR5105AK6223,삼성미국코어밸런스증권자투자신탁H[주식혼합-재간접형]_Ce,1453.16,20131205,해외자산배분,해외혼합형,2,4,보통 위험,삼성자산운용
K55102B42813,하나코어셀렉션증권자투자신탁[주식혼합-재간접형]ClassC-E,2000.00,20180228,해외자산배분,해외혼합형,0,3,다소 높은 위험,하나자산운용
K55102CA9632,하나레그메이슨매크로오퍼튜니티혼합자산자투자신탁[재간접형]ClassW,910.86,20190215,해외자산배분,해외혼합형,0,3,다소 높은 위험,하나자산운용
K55105BI4468,삼성글로벌리얼리턴증권자투자신탁UH[주식혼합-재간접형]_Ce,1251.04,20161108,해외자산배분,해외혼합형,0,3,다소 높은 위험,삼성자산운용
K55216E42278,DBOCIO자산배분성장형증권투자신탁[혼합-재간접형]_운용,1127.49,20230823,해외자산배분,해외혼합형,80,3,다소 높은 위험,디비자산운용
K55301E39621,미래에셋드림스타자산배분성장형증권투자신탁(혼합-재간접형)종류F,1163.06,20231010,해외자산배분,해외혼합형,2,3,다소 높은 위험,미래에셋자산운용
K55206D28080,키움불리오글로벌멀티에셋EMP증권자투자신탁(H)[혼합-재간접형]ClassS-P2(퇴직연금),1079.07,20200313,해외자산배분,해외혼합형,4,2,높은 위험,키움투자자산운용
K55223DE5795,KB타겟리턴성장형OCIO증권투자신탁(혼합-재간접형)C-퇴직,1059.93,20211018,해외자산배분,해외혼합형,16,3,다소 높은 위험,케이비자산운용
K55210DY9723,신한밸런스프로적극형증권투자신탁[주식혼합-재간접형](종류C-pe),1193.25,20230907,해외자산배분,해외혼합형,2,3,다소 높은 위험,신한자산운용
K55213E07427,한화글로벌매크로퀀트EMP증권자투자신탁(혼합-재간접형),1139.54,20230417,해외자산배분,해외혼합형,56,3,다소 높은 위험,한화자산운용
K55239DU4212,현대인베스트먼트글로벌멀티에셋스마트EMP증권투자신탁 1(혼합-재간접형)A-e,1129.23,20220725,해외자산배분,해외혼합형,0,3,다소 높은 위험,현대인베스트먼트자산운용
K55213DI3368,한화OCIO솔루션증권투자신탁(혼합-재간접형)A,1044.17,20210426,해외자산배분,해외혼합형,0,3,다소 높은 위험,한화자산운용
KR5235AR7805,피델리티월지급식글로벌멀티에셋인컴증권자투자신탁(채권혼합-재간접형),802.07,20170713,해외자산배분,해외혼합형,3,4,보통 위험,피델리티자산운용
K55105CA8664,삼성평생소득TIF60증권자투자신탁H[주식혼합-재간접형]_S-P,1234.91,20180702,해외자산배분,해외혼합형,0,3,다소 높은 위험,삼성자산운용
KR5301AY5932,미래에셋펀드솔루션40증권전환형자투자신탁 1(채권혼합-재간접형)종류A-e,1214.44,20160122,해외자산배분,해외혼합형,0,4,보통 위험,미래에셋자산운용
K55306CV9979,다올글로벌멀티에셋인컴EMP증권자투자신탁[혼합-재간접형](공)종류CW,1167.14,20200122,해외자산배분,해외혼합형,0,4,보통 위험,다올자산운용
K55210DQ8402,신한그린플레이션플러스EMP증권투자신탁(H)[혼합-재간접형](종류C-s),1007.11,20220218,해외자산배분,해외혼합형,31,2,높은 위험,신한자산운용
K55373DA1069,현대글로벌EMP증권자투자신탁 1(UH)[혼합-재간접형],1357.83,20200907,해외자산배분,해외혼합형,29,3,다소 높은 위험,현대자산운용
K55214CV1928,유진챔피언글로벌월배당ETF혼합자산자투자신탁(H)[재간접형]ClassC-Pe,999.30,20190830,해외자산배분,해외혼합형,10,4,보통 위험,유진자산운용
K55206DW9036,키움OCIO타겟리턴성장형증권투자신탁[혼합-재간접형]ClassC-Pe,1123.25,20220905,해외자산배분,해외혼합형,0,3,다소 높은 위험,키움투자자산운용
K55232D64818,NH-Amundi뉴패러다임자산배분EMP혼합자산투자신탁[재간접형]ClassS,1060.89,20200821,해외자산배분,해외혼합형,0,4,보통 위험,엔에이치아문디자산운용
K55301DW7760,미래에셋연금동행중립형증권투자신탁(채권혼합-재간접형)종류C-P2e,1109.24,20220902,해외자산배분,해외혼합형,6,4,보통 위험,미래에셋자산운용
K55105CF5285,삼성EMP리얼리턴증권자투자신탁UH[주식혼합-재간접형]Cp(퇴직),1307.24,20200226,해외자산배분,해외혼합형,3,4,보통 위험,삼성자산운용
K55105BW3389,삼성EMP글로벌로테이션증권자투자신탁[주식혼합-재간접형]C-P,1137.20,20180514,해외자산배분,해외혼합형,3,3,다소 높은 위험,삼성자산운용
K55232D64735,NH-Amundi뉴패러다임자산배분EMP혼합자산투자신탁[재간접형]ClassCe,1038.30,20200806,해외자산배분,해외혼합형,1,4,보통 위험,엔에이치아문디자산운용
K55232DS0922,NH-Amundi올바른지구OCIO자산배분증권자투자신탁[혼합-재간접형],1042.09,20220328,해외자산배분,해외혼합형,"2,111",3,다소 높은 위험,엔에이치아문디자산운용
K55105CX4591,삼성EMP리얼리턴플러스증권자투자신탁UH[주식혼합-재간접형]_직판,1480.76,20191115,해외자산배분,해외혼합형,0,2,높은 위험,삼성자산운용
K55105B58069,삼성글로벌다이나믹자산배분증권자투자신탁H[주식혼합-재간접형]Ci,1198.76,20190226,해외자산배분,해외혼합형,80,4,보통 위험,삼성자산운용
K55105BQ3585,삼성평생소득TIF20증권자투자신탁H[채권혼합-재간접형]_Cp(퇴직연금),1045.29,20170530,해외자산배분,해외혼합형,57,5,낮은 위험,삼성자산운용
K55363C84456,트러스톤파운트로보자산배분증권자투자신탁[주식혼합-재간접형]S-P클래스,1111.24,20230508,해외자산배분,해외혼합형,0,4,보통 위험,트러스톤자산운용
K55303CX5341,마이다스글로벌블루칩배당인컴혼합자산자투자신탁(UH)A,2565.90,20191107,해외자산배분,해외혼합형,0,2,높은 위험,마이다스에셋자산운용
K55223DE1141,KB타겟리턴안정형OCIO증권투자신탁(혼합-재간접형)S-퇴직,1038.98,20220425,해외자산배분,해외혼합형,0,4,보통 위험,케이비자산운용
K55107DT5567,우리다같이OCIO타겟리턴증권자투자신탁(채권혼합-재간접형)ClassA-e,1046.86,20220512,해외자산배분,해외혼합형,1,4,보통 위험,우리자산운용
K55216E42112,DBOCIO자산배분중립형증권투자신탁[혼합-재간접형]종류A-E,1105.56,20230913,해외자산배분,해외혼합형,0,3,다소 높은 위험,디비자산운용
K55363DU2917,트러스톤OCIO연금솔루션성장형증권자투자신탁[혼합-재간접형]I클래스,1098.31,20220603,해외자산배분,해외혼합형,29,3,다소 높은 위험,트러스톤자산운용
K55373DA1200,현대글로벌EMP증권자투자신탁 1(UH)[혼합-재간접형]종류S,1352.34,20200907,해외자산배분,해외혼합형,2,3,다소 높은 위험,현대자산운용
K55301DW1268,미래에셋밸런스TRF안정형증권자투자신탁(채권혼합)종류O,1092.73,20221207,해외자산배분,해외혼합형,55,4,보통 위험,미래에셋자산운용
K55213DU6738,한화LIFEPLUSTIF혼합자산자투자신탁(재간접형)A,1034.75,20220715,해외자산배분,해외혼합형,0,3,다소 높은 위험,한화자산운용
K55105CA8631,삼성평생소득TIF60증권자투자신탁H[주식혼합-재간접형]_Cp(퇴직연금),1201.47,20180706,해외자산배분,해외혼합형,2,3,다소 높은 위험,삼성자산운용
K55210DT2055,신한TRF안정형OCIO솔루션증권투자신탁[혼합-재간접형](종류C-s),1076.14,20220509,해외자산배분,해외혼합형,32,3,다소 높은 위험,신한자산운용
K55223CX6858,KB올에셋AI솔루션EMP증권자투자신탁(혼합-재간접형)(UH)C-퇴직e,1348.68,20200608,해외자산배분,해외혼합형,124,2,높은 위험,케이비자산운용
K55223DE1083,KB타겟리턴안정형OCIO증권투자신탁(혼합-재간접형)S-P,1038.98,20220422,해외자산배분,해외혼합형,0,4,보통 위험,케이비자산운용
K55105CC7250,삼성EMP리얼리턴플러스증권자투자신탁UH[주식혼합-재간접형]_S-P,1478.30,20190716,해외자산배분,해외혼합형,0,2,높은 위험,삼성자산운용
K55368DQ9970,하이DNDN에버그린EMP증권투자신탁(혼합-재간접형)S-P,1016.36,20220322,해외자산배분,해외혼합형,1,3,다소 높은 위험,하이자산운용
K55206CY3095,키움불리오글로벌멀티에셋EMP증권자투자신탁(H)[혼합-재간접형]ClassA,901.09,20220406,해외자산배분,해외혼합형,7,2,높은 위험,키움투자자산운용
K55105BQ3528,삼성글로벌타겟인컴20증권자투자신탁H[채권혼합-재간접형]_Ce,2000.00,20170718,해외자산배분,해외혼합형,0,5,낮은 위험,삼성자산운용
K55303CX5200,마이다스글로벌블루칩배당인컴혼합자산자투자신탁(H)A,1554.13,20191107,해외자산배분,해외혼합형,1,2,높은 위험,마이다스에셋자산운용
K55213B34799,한화100세시대퇴직연금글로벌리츠증권자투자신탁(채권혼합),960.33,20191126,해외자산배분,해외혼합형,2,4,보통 위험,한화자산운용
KR5301754846,미래에셋인사이트증권자투자신탁 1(주식혼합)종류C-e,2098.24,20071031,해외자산배분,해외혼합형,56,2,높은 위험,미래에셋자산운용
K55213BU7076,한화멀티에셋크루즈5.0증권자투자신탁(채권혼합-재간접형)종류C-Pe(연금저축),1012.49,20191029,해외자산배분,해외혼합형,0,4,보통 위험,한화자산운용
K55232E31302,NH-AmundiSignatureOCIO인컴형증권자투자신탁(H)[혼합-재간접형]ClassC,1047.33,20230612,해외자산배분,해외혼합형,1,3,다소 높은 위험,엔에이치아문디자산운용
K55216DX3184,DBOCIO자산배분안정형증권투자신탁[혼합-재간접형]종류C-P2E,1071.34,20230914,해외자산배분,해외혼합형,0,3,다소 높은 위험,디비자산운용
K55105D05488,삼성믿음직한사계절EMP증권자투자신탁H[채권혼합-재간접형],1067.18,20200203,해외자산배분,해외혼합형,470,4,보통 위험,삼성자산운용
K55301CH8024,미래에셋개인연금평생소득TIF혼합자산자투자신탁,1028.76,20190320,해외자산배분,해외혼합형,641,5,낮은 위험,미래에셋자산운용
K55105BI4310,삼성글로벌리얼리턴증권자투자신탁H[주식혼합-재간접형]_C,1134.63,20161028,해외자산배분,해외혼합형,0,3,다소 높은 위험,삼성자산운용
K55232E31419,NH-AmundiSignatureOCIO인컴형증권자투자신탁(UH)[혼합-재간접형]ClassAe,1125.51,20230615,해외자산배분,해외혼합형,9,3,다소 높은 위험,엔에이치아문디자산운용
K55301DW7745,미래에셋연금동행중립형증권투자신탁(채권혼합-재간접형)종류C-Pe,1108.70,20220902,해외자산배분,해외혼합형,8,4,보통 위험,미래에셋자산운용
K55101DV6831,한국투자MySuper알아서성장형증권자투자신탁(혼합-재간접형)(모),1313.64,20221005,해외자산배분,해외혼합형,161,3,다소 높은 위험,한국투자신탁운용
K55232D65013,NH-Amundi뉴패러다임자산배분EMP혼합자산투자신탁[재간접형]ClassS-P2(퇴직연금),1057.82,20200827,해외자산배분,해외혼합형,0,4,보통 위험,엔에이치아문디자산운용
K55210D50748,신한글로벌스노우볼알파증권투자신탁[주식혼합](종류C-r),1156.63,20200717,해외자산배분,해외혼합형,0,3,다소 높은 위험,신한자산운용
K55105D80275,삼성연타남녀3040증권자투자신탁H[채권혼합-재간접형]_Cpe(퇴직연금),1054.13,20200721,해외자산배분,해외혼합형,0,3,다소 높은 위험,삼성자산운용
K55373DE9472,현대글로벌EMP증권자투자신탁 1(H)[혼합-재간접형]종류C-P2e,1214.18,20210609,해외자산배분,해외혼합형,0,3,다소 높은 위험,현대자산운용
K55105CC7219,삼성EMP리얼리턴플러스증권자투자신탁UH[주식혼합-재간접형]Cw,1371.20,20200220,해외자산배분,해외혼합형,4,2,높은 위험,삼성자산운용
K55301DR7981,미래에셋자산관리TIF혼합자산자투자신탁종류A-e,1047.91,20220407,해외자산배분,해외혼합형,3,3,다소 높은 위험,미래에셋자산운용
K55206CY3178,키움불리오글로벌멀티에셋EMP증권자투자신탁(H)[혼합-재간접형]ClassC-Pe,1002.02,20191209,해외자산배분,해외혼합형,52,2,높은 위험,키움투자자산운용
K55105BV4206,삼성퇴직연금POP펀드로테이션증권자투자신탁[채권혼합-재간접형]Ce,1226.69,20170823,해외자산배분,해외혼합형,2,4,보통 위험,삼성자산운용
KR5105AK6348,삼성미국코어밸런스증권자투자신탁UH[주식혼합-재간접형]_C3,1230.14,20131107,해외자산배분,해외혼합형,0,4,보통 위험,삼성자산운용
K55214DT2317,유진챔피언플레인바닐라OCIO증권자투자신탁(혼합-재간접형)ClassC-E,1049.30,20220502,해외자산배분,해외혼합형,50,3,다소 높은 위험,유진자산운용
K55105D77263,삼성연타남녀3040증권자투자신탁H[채권혼합-재간접형],1074.08,20200721,해외자산배분,해외혼합형,0,4,보통 위험,삼성자산운용
K55216BJ6088,DB뉴욕라이프글로벌자산관리EMP증권자투자신탁(H)[주식혼합-재간접형]종류C-E,1158.84,20161208,해외자산배분,해외혼합형,3,2,높은 위험,디비자산운용
K55244E14527,웰컴-퀀팃EMP알파증권투자신탁 1[혼합-재간접형]C-P1E,1174.33,20230516,해외자산배분,해외혼합형,0,3,다소 높은 위험,웰컴자산운용
K55363BR2310,트러스톤백년대계EMP30자산배분증권자투자신탁[채권혼합-재간접형]A클래스,1108.21,20170628,해외자산배분,해외혼합형,1,4,보통 위험,트러스톤자산운용
K55105B58085,삼성글로벌다이나믹자산배분증권자투자신탁H[주식혼합-재간접형]Cp(퇴직연금),1225.74,20190114,해외자산배분,해외혼합형,15,4,보통 위험,삼성자산운용
K55105CX4351,삼성EMP리얼리턴증권자투자신탁UH[주식혼합-재간접형]_직판,1366.22,20191115,해외자산배분,해외혼합형,0,4,보통 위험,삼성자산운용
K55210DT0836,신한TRF성장형OCIO솔루션증권투자신탁[혼합-재간접형](종류S),1164.37,20220726,해외자산배분,해외혼합형,0,3,다소 높은 위험,신한자산운용
K55210D07268,신한AI자산배분증권투자신탁(H)[주식혼합-재간접형](종류C-e),1006.24,20200128,해외자산배분,해외혼합형,11,3,다소 높은 위험,신한자산운용
K55107DT5591,우리다같이OCIO타겟리턴증권자투자신탁(채권혼합-재간접형)ClassC-e,1046.60,20220512,해외자산배분,해외혼합형,1,4,보통 위험,우리자산운용
K55210DT0778,신한TRF성장형OCIO솔루션증권투자신탁[혼합-재간접형](종류C-pe),1161.56,20220617,해외자산배분,해외혼합형,0,3,다소 높은 위험,신한자산운용
K55102BU0273,하나코어셀렉션증권자투자신탁[주식혼합-재간접형]ClassC-P2E,1124.76,20171020,해외자산배분,해외혼합형,1,3,다소 높은 위험,하나자산운용
KR5230AC4556,슈로더아시안에셋인컴증권투자신탁(주식혼합-재간접형)종류C,1077.13,20120907,해외자산배분,해외혼합형,9,4,보통 위험,슈로더투자신탁운용
K55368DQ9962,하이DNDN에버그린EMP증권투자신탁(혼합-재간접형)S-P(퇴직연금),1028.18,20220407,해외자산배분,해외혼합형,1,3,다소 높은 위험,하이자산운용
K55101DV6849,한국투자MySuper알아서성장형증권자투자신탁(혼합-재간접형)(C-F),1310.03,20221005,해외자산배분,해외혼합형,27,3,다소 높은 위험,한국투자신탁운용
K55206DW9259,키움OCIO타겟리턴안정형증권투자신탁[채권혼합-재간접형]ClassC-P2e(퇴직연금),1087.26,20220824,해외자산배분,해외혼합형,3,5,낮은 위험,키움투자자산운용
K55301DW8198,미래에셋연금동행성장형혼합자산투자신탁(재간접형)종류C-P,1199.12,20230210,해외자산배분,해외혼합형,1,3,다소 높은 위험,미래에셋자산운용
