fund_code,fund_name,hashtag,std_price,set_date,fund_type,fund_type_detail,set_amount,company_name,risk_grade,risk_grade_txt,drv_nav,bond,bond_foreign,stock,stock_foreign,investment,etc,return_1m,return_3m,return_6m,return_1y,return_3y,return_5y,return_idx,return_ytd,arima_price,arima_update,arima_percent,stock_ratio,bond_ratio
K55101B79338,한국투자베트남그로스증권자투자신탁UH(주식)(C-e),#해외주식형#베트남,2251.68,2016-03-03,베트남주식,해외주식형,126,한국투자신탁운용,2,높은 위험,1234.43,0,0,0,88.17,2.64,9.19,3.27,3.62,22.29,26.66,20.54,74.82,136.41,19.64,2359.756891917281,2024-06-20,4.78,100,0
K55101B79353,한국투자베트남그로스증권자투자신탁UH(주식)(C-W),#해외주식형#베트남,2344.98,2016-03-15,베트남주식,해외주식형,0,한국투자신탁운용,2,높은 위험,1234.43,0,0,0,88.17,2.64,9.19,3.31,3.75,22.59,27.28,22.38,79.25,151.34,19.91,2454.492845910983,2024-06-20,4.65,100,0
K55101B79361,한국투자베트남그로스증권자투자신탁UH(주식)(S),#해외주식형#S클래스#베트남,2276.5,2016-03-07,베트남주식,해외주식형,17,한국투자신탁운용,2,높은 위험,1234.43,0,0,0,88.17,2.64,9.19,3.28,3.66,22.38,26.84,21.09,76.14,140.91,19.72,2385.3210869015966,2024-06-20,4.76,100,0
K55101BA8230,한국투자ACE일본Nikkei225증권상장지수투자신탁(주식-파생형)(H),#해외주식형#ETF(해외주식)#해외지수#일본,26821.5,2016-02-26,일본주식,해외주식형,110,한국투자신탁운용,2,높은 위험,295.04,0,0,0,86.97,0,13.03,-1.9,-0.38,17.47,17.69,41.02,96.4,168.22,14.93,28074.136842105312,2024-06-20,3.64,100,0
K55101BD5035,한국투자웰링턴글로벌퀄리티증권모투자신탁(주식),#해외주식형#모펀드,2849.72,2016-05-20,글로벌주식,해외주식형,1282,한국투자신탁운용,3,다소 높은 위험,3652.36,0,0,0,92.33,2.36,5.31,3.45,7.79,23.51,36.08,41.28,101.41,207.98,22.44,2990.119624348207,2024-06-20,4.5,100,0
K55101BD5308,한국투자웰링턴글로벌퀄리티증권자투자신탁UH(주식),#해외주식형#글로벌,2765.52,2016-05-20,글로벌주식,해외주식형,163,한국투자신탁운용,3,다소 높은 위험,450.4,0,0,0,86.93,2.22,10.85,3.32,7.52,22.74,35,39.9,97.98,199.09,21.71,2897.640353565294,2024-06-20,4.37,100,0
K55101BI4108,한국투자ACE인도네시아MSCI증권상장지수투자신탁(주식-파생형)(합성),#해외주식형#ETF(해외주식)#해외지수#신흥아시아,9007.02,2016-10-27,기타국가주식,해외주식형,540,한국투자신탁운용,1,매우 높은 위험,486.38,0,0,0,0.00,32.68,67.32,-8.74,-17.54,-11.87,-14.59,11.51,-10.49,-9.93,-12.09,8707.25684210527,2024-06-20,-3.55,,
K55101BJ5096,한국투자ACE필리핀MSCI증권상장지수투자신탁(주식-파생형)(합성),#해외주식형#ETF(해외주식)#해외지수#신흥아시아,12956,2016-12-23,기타국가주식,해외주식형,60,한국투자신탁운용,2,높은 위험,51.82,0,0,0,0.00,25.45,74.55,-3.63,-8.59,-0.21,2.89,-6.26,-19.82,-13.63,0.16,12845.45385640624,2024-06-20,-0.29,,
K55101BP1840,한국투자베트남그로스증권자투자신탁UH(주식)A-G,#해외주식형#베트남,1735.28,2017-12-20,베트남주식,해외주식형,0,한국투자신탁운용,2,높은 위험,1234.43,0,0,0,88.17,2.64,9.19,3.27,3.61,22.29,26.65,20.52,75.04,74.64,19.64,1818.5322331328089,2024-06-20,4.78,100,0
K55101BU2759,한국투자ACES&P아시아TOP50증권상장지수투자신탁(주식),#해외주식형#ETF(해외주식)#해외지수#아시아퍼시픽,15071.5,2017-08-18,아시아퍼시픽주식(ex J),해외주식형,150,한국투자신탁운용,2,높은 위험,226.07,0,0,16.67,77.48,0,5.85,1.97,16.28,26.09,18.22,-4.86,44.73,50.71,24.95,16017.657894736854,2024-06-20,5.42,100,0
K55101BW9851,한국투자글로벌전기차&배터리증권투자신탁(주식),#해외주식형#글로벌,1186.32,2017-10-26,에너지섹터,해외주식형,11266,한국투자신탁운용,1,매우 높은 위험,13365.4,0,0,10.72,69.50,7,12.78,1.16,0.4,-4.38,-17.19,-16.99,79.67,27.75,-5.84,1168.685287382155,2024-06-20,-1.87,100,0
K55101BW9950,한국투자글로벌전기차&배터리증권투자신탁(주식)(A-e),#해외주식형#글로벌,1170.25,2017-10-26,에너지섹터,해외주식형,1472,한국투자신탁운용,1,매우 높은 위험,13339.8,0,0,10.72,69.50,7,12.78,1.06,0.1,-4.96,-18.18,-19.87,69.67,18.35,-6.37,1150.9747291070585,2024-06-20,-2.03,100,0
K55101BW9968,한국투자글로벌전기차&배터리증권투자신탁(주식)(C-e),#해외주식형#글로벌,1166.57,2017-10-31,에너지섹터,해외주식형,2205,한국투자신탁운용,1,매우 높은 위험,13339.8,0,0,10.72,69.50,7,12.78,1.05,0.07,-5.02,-18.29,-20.18,68.61,17.37,-6.43,1147.1390451607886,2024-06-20,-2.05,100,0
K55101BX0115,한국투자글로벌전기차&배터리증권투자신탁(주식)(C-F),#해외주식형#글로벌,1177.43,2017-10-26,에너지섹터,해외주식형,0,한국투자신탁운용,1,매우 높은 위험,13339.8,0,0,10.72,69.50,7,12.78,1.09,0.19,-4.78,-17.88,-19.01,72.66,21.1,-6.21,1158.6192427418648,2024-06-20,-1.98,100,0
K55101BX0164,한국투자글로벌전기차&배터리증권투자신탁(주식)(C-Pe),#해외주식형#연금저축#글로벌,1163.17,2017-11-06,에너지섹터,해외주식형,1168,한국투자신탁운용,1,매우 높은 위험,13339.8,0,0,10.72,69.50,7,12.78,1.05,0.08,-5,-18.26,-20.08,68.95,17.63,-6.41,1143.8644442882307,2024-06-20,-2.04,100,0
K55101BX5403,한국투자중국소비성장수혜주증권자투자신탁H(주식)A-e,#해외주식형#글로벌,1573.5,2017-12-20,중국주식,해외주식형,1,한국투자신탁운용,2,높은 위험,9.85,0,0,2.57,86.15,3.37,7.91,2.45,5.62,15.16,15.3,12.01,62.61,60.8,13.59,1622.9205727546,2024-06-20,3.02,100,0
K55101BZ1061,한국투자월스트리트투자은행증권투자신탁 1(주식)(C-P),#해외주식형#연금저축#금융펀드#금융펀드(해외)#글로벌,1000.09,2017-12-01,금융섹터,해외주식형,2,한국투자신탁운용,1,매우 높은 위험,153.87,0,0,0,92.32,0,7.68,-3.68,1.79,9.03,18.81,2.4,31.91,28.61,6.68,1010.7695950199424,2024-06-20,0.45,100,0
K55101BZ1079,한국투자월스트리트투자은행증권투자신탁 1(주식)(C-Pe),#해외주식형#연금저축#글로벌,1000,2007-06-19,금융섹터,해외주식형,16,한국투자신탁운용,1,매우 높은 위험,153.87,0,0,0,92.32,0,7.68,-3.64,1.91,9.27,19.33,3.79,34.9,34.62,6.9,1001.2572957081339,2024-06-20,-0.49,100,0
K55101BZ1087,한국투자월스트리트투자은행증권투자신탁 1(주식)(S-P),#해외주식형#연금저축#S클래스#금융펀드#금융펀드(해외)#글로벌,1000,2021-03-17,금융섹터,해외주식형,0,한국투자신탁운용,1,매우 높은 위험,153.87,0,0,0,92.32,0,7.68,-3.62,1.95,9.37,19.53,4.34,,9.64,6.98,996.9729944226798,2024-06-20,-0.92,100,0
K55101C31949,한국투자ACE멕시코MSCI증권상장지수투자신탁(주식-파생형)(합성),#해외주식형#ETF(해외주식)#해외지수#중남미,13516.3,2018-03-06,기타국가주식,해외주식형,90,한국투자신탁운용,2,높은 위험,121.65,0,0,0,0.00,11.72,88.28,-17.09,-14.45,-11.58,-6.99,40.1,42.28,35.16,-13.34,13411.854687313034,2024-06-20,-3.03,,
K55101C35296,한국투자KRX300인덱스증권투자신탁(주식),#국내주식형,1214.28,2018-02-19,인덱스주식KRX300,국내주식형,73,한국투자신탁운용,2,높은 위험,89.03,0,0,89.9,0.00,3.96,6.14,2.12,4.47,11.23,11.83,-6.16,53.57,32.97,6.27,1244.371002332835,2024-06-20,1.16,100,0
K55101C35304,한국투자KRX300인덱스증권투자신탁(주식)(A),#국내주식형,1201.77,2018-02-19,인덱스주식KRX300,국내주식형,12,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.08,4.34,10.96,11.27,-7.55,49.82,28.85,6.03,1231.8254783134519,2024-06-20,1.18,100,0
K55101C35312,한국투자KRX300인덱스증권투자신탁(주식)(A-e),#국내주식형,1202.53,2018-02-19,인덱스주식KRX300,국내주식형,5,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.09,4.38,11.04,11.44,-7.14,50.94,29.86,6.1,1232.5328893493445,2024-06-20,1.18,100,0
K55101C35338,한국투자KRX300인덱스증권투자신탁(주식)(C),#국내주식형,1197.88,2018-02-23,인덱스주식KRX300,국내주식형,3,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.02,4.16,10.58,10.5,-9.47,44.73,24.33,5.69,1228.2695358410929,2024-06-20,1.22,100,0
K55101C35346,한국투자KRX300인덱스증권투자신탁(주식)(C-e),#국내주식형,1195.5,2018-02-19,인덱스주식KRX300,국내주식형,8,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.06,4.29,10.85,11.05,-8.1,48.34,27.24,5.93,1224.7737231069186,2024-06-20,1.13,100,0
K55101C35379,한국투자KRX300인덱스증권투자신탁(주식)(C-P),#국내주식형#연금저축,1171.82,2018-03-14,인덱스주식KRX300,국내주식형,8,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.06,4.26,10.8,10.94,-8.38,47.61,23.94,5.89,1198.243440134675,2024-06-20,0.94,100,0
K55101C35387,한국투자KRX300인덱스증권투자신탁(주식)(C-Pe),#국내주식형#연금저축,1178.39,2018-03-19,인덱스주식KRX300,국내주식형,9,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.08,4.34,10.96,11.27,-7.55,49.81,26.28,6.03,1203.7260511024438,2024-06-20,0.84,100,0
K55101C35395,한국투자KRX300인덱스증권투자신탁(주식)(C-R),#국내주식형#퇴직연금,1174.14,2018-03-15,인덱스주식KRX300,국내주식형,9,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.06,4.26,10.8,10.95,-8.35,47.69,24.45,5.89,1200.9903090640232,2024-06-20,0.97,100,0
K55101C35403,한국투자KRX300인덱스증권투자신탁(주식)(C-Re),#국내주식형#퇴직연금,1178.68,2018-03-16,인덱스주식KRX300,국내주식형,21,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.08,4.34,10.96,11.28,-7.54,49.85,26.39,6.03,1204.000571279853,2024-06-20,0.84,100,0
K55101C35429,한국투자KRX300인덱스증권투자신탁(주식)(S),#국내주식형#S클래스,1204.51,2018-02-19,인덱스주식KRX300,국내주식형,1,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.09,4.38,11.05,11.46,-7.1,51.03,30.18,6.11,1234.543952874581,2024-06-20,1.18,100,0
K55101C35437,한국투자KRX300인덱스증권투자신탁(주식)(S-P),#국내주식형#연금저축#S클래스,1204.91,2018-02-19,인덱스주식KRX300,국내주식형,1,한국투자신탁운용,2,높은 위험,88.98,0,0,89.9,0.00,3.96,6.14,2.09,4.38,11.05,11.47,-7.07,51.1,30.27,6.11,1234.9433577019586,2024-06-20,1.18,100,0
K55101C70822,한국투자글로벌전기차&배터리증권투자신탁(주식)(S),#해외주식형#S클래스#글로벌,1306.27,2018-05-10,에너지섹터,해외주식형,154,한국투자신탁운용,1,매우 높은 위험,13339.8,0,0,10.72,69.50,7,12.78,1.06,0.11,-4.94,-18.16,-19.81,69.88,34.16,-6.36,1284.803394820844,2024-06-20,-2.03,100,0
K55101C70830,한국투자글로벌전기차&배터리증권투자신탁(주식)(S-P),#해외주식형#연금저축#S클래스#글로벌,1307.52,2018-05-10,에너지섹터,해외주식형,109,한국투자신탁운용,1,매우 높은 위험,13339.8,0,0,10.72,69.50,7,12.78,1.07,0.13,-4.9,-18.09,-19.61,70.56,34.83,-6.32,1286.1687595710189,2024-06-20,-2.02,100,0
K55101CA2695,한국투자글로벌전기차&배터리증권투자신탁(주식)(C-Re),#해외주식형#퇴직연금#글로벌,1352.65,2018-07-23,에너지섹터,해외주식형,2469,한국투자신탁운용,1,매우 높은 위험,13339.8,0,0,10.72,69.50,7,12.78,1.05,0.08,-5,-18.25,-20.06,68.98,37.92,-6.41,1330.2219825652824,2024-06-20,-2.04,100,0
K55101CF3110,한국투자ACE미국WideMoat가치주증권상장지수투자신탁(주식),#해외주식형#ETF(해외주식)#해외지수#북미,24205,2018-10-23,북미주식,해외주식형,426,한국투자신탁운용,2,높은 위험,1031.13,0,0,0,82.64,16.49,0.87,-1.95,2.22,9.29,17.42,44.83,118.05,142.96,8.54,24751.752631578976,2024-06-20,2.03,100,0
K55101D21690,한국투자월스트리트투자은행증권투자신탁 1(주식)(C-R),#해외주식형#퇴직연금#금융펀드#금융펀드(해외)#글로벌,1000,2021-04-05,금융섹터,해외주식형,5,한국투자신탁운용,1,매우 높은 위험,153.87,0,0,0,92.32,0,7.68,-3.68,1.79,9.04,18.82,,,0.45,6.68,1020.2405543492274,2024-06-20,1.4,100,0
K55101D21708,한국투자월스트리트투자은행증권투자신탁 1(주식)(C-Re),#해외주식형#퇴직연금#금융펀드#금융펀드(해외)#글로벌,1000,2020-07-28,금융섹터,해외주식형,14,한국투자신탁운용,1,매우 높은 위험,153.87,0,0,0,92.32,0,7.68,-3.64,1.91,9.28,19.33,3.81,,33.99,6.9,1001.104074526728,2024-06-20,-0.51,100,0
K55101D21716,한국투자월스트리트투자은행증권투자신탁 1(주식)(S-R),#해외주식형#퇴직연금#S클래스#금융펀드#금융펀드(해외)#글로벌,1000,2021-03-16,금융섹터,해외주식형,0,한국투자신탁운용,1,매우 높은 위험,153.87,0,0,0,92.32,0,7.68,-3.62,1.96,9.38,19.55,4.39,,9.32,6.99,996.5880718745736,2024-06-20,-0.96,100,0
K55102B42813,하나코어셀렉션증권자투자신탁[주식혼합-재간접형]ClassC-E,#해외혼합형#글로벌,2000,2018-02-28,해외자산배분,해외혼합형,0,하나자산운용,3,다소 높은 위험,37.21,0,0,0,25.00,50,25,0,0,0,33.33,76.24,114.98,105.62,0,0,2024-06-20,-100,100,0
K55102BA1655,하나유로하이일드증권자투자신탁[채권-재간접형]ClassA-E,#해외채권형#유럽,1209.82,2016-02-22,글로벌하이일드채권,해외채권형,0,하나자산운용,2,높은 위험,1.18,0,0,0,0.00,95.12,4.88,0.57,0.34,3.1,8.26,6.42,17.74,20.98,2.39,1218.33052631579,2024-06-20,0.63,,
K55102BA2091,하나유로하이일드증권자투자신탁[채권-재간접형],#해외채권형#유럽,1490.39,2016-02-01,글로벌하이일드채권,해외채권형,1,하나자산운용,2,높은 위험,1.18,0,0,0,0.00,95.12,4.88,0.61,0.47,3.36,8.8,8.02,20.68,49.61,2.63,1501.4363157894745,2024-06-20,0.67,,
K55102BA2125,하나유로하이일드증권자투자신탁[채권-재간접형]ClassS,#해외채권형#S클래스#유럽,1451.41,2016-02-01,글로벌하이일드채권,해외채권형,0,하나자산운용,2,높은 위험,1.18,0,0,0,0.00,95.12,4.88,0.57,0.36,3.13,8.32,6.59,18.03,45.14,2.42,1461.7115789473685,2024-06-20,0.64,,
K55102BA2141,하나유로하이일드증권자투자신탁[채권-재간접형]ClassC-P,#해외채권형#연금저축#유럽,1410.32,2016-02-04,글로벌하이일드채권,해외채권형,0,하나자산운용,2,높은 위험,1.18,0,0,0,0.00,95.12,4.88,0.54,0.25,2.92,7.88,5.31,15.68,41.18,2.23,1419.6421052631592,2024-06-20,0.59,,
K55102BA4501,하나유로하이일드증권자투자신탁[채권-재간접형]ClassC-E,#해외채권형#유럽,1427.96,2016-02-22,글로벌하이일드채권,해외채권형,0,하나자산운용,2,높은 위험,1.18,0,0,0,0.00,95.12,4.88,0.55,0.28,2.98,8,5.64,16.27,42.8,2.28,1437.5889473684224,2024-06-20,0.6,,
K55102BB8568,하나파워e단기채증권자투자신탁[채권]ClassW,#국내채권형,1054.99,2016-03-16,초단기채권,국내채권형,1160,하나자산운용,6,매우 낮은 위험,3693.72,39.21,0,0,0.00,10.31,50.48,0.4,1.19,2.42,4.87,10.64,13.84,21.1,2.22,1051.44894736842,2024-06-20,-0.36,0,100
K55102BJ4742,하나파워e단기채증권자투자신탁[채권]ClassA2,#국내채권형,1037.75,2016-04-18,초단기채권,국내채권형,3,하나자산운용,6,매우 낮은 위험,3693.72,39.21,0,0,0.00,10.31,50.48,0.4,1.18,2.41,4.86,10.62,13.79,20.75,2.22,1034.2626315789466,2024-06-20,-0.36,0,100
K55102BM9100,하나IT코리아증권자투자신탁 1[주식]ClassA-E,#국내주식형#IT펀드,1922.26,2017-05-18,액티브주식섹터,국내주식형,189,하나자산운용,2,높은 위험,3645.81,0,0,96.46,0.09,0.48,2.97,5.61,8.87,13.35,11.16,4.9,92.52,93.65,9.88,1994.9893206632823,2024-06-20,2.8,100,0
K55102BM9118,하나IT코리아증권자투자신탁 1[주식]ClassC-E,#국내주식형#IT펀드,1897,2017-05-19,액티브주식섹터,국내주식형,434,하나자산운용,2,높은 위험,3645.81,0,0,96.46,0.09,0.48,2.97,5.59,8.78,13.17,10.81,3.89,89.47,89.7,9.72,1968.0701106705808,2024-06-20,2.76,100,0
K55102BM9126,하나IT코리아증권자투자신탁 1[주식]ClassC-P,#국내주식형#연금저축#IT펀드,1905.53,2017-05-22,액티브주식섹터,국내주식형,41,하나자산운용,2,높은 위험,3645.81,0,0,96.46,0.09,0.48,2.97,5.59,8.78,13.16,10.8,3.86,89.37,90.55,9.71,1976.9120554114895,2024-06-20,2.76,100,0
K55102BM9134,하나IT코리아증권자투자신탁 1[주식]ClassC-P2,#국내주식형#퇴직연금#IT펀드,2052.47,2017-04-11,액티브주식섹터,국내주식형,28,하나자산운용,2,높은 위험,3645.81,0,0,96.46,0.09,0.48,2.97,5.59,8.8,13.22,10.91,4.17,90.31,105.25,9.76,2129.3648817081394,2024-06-20,2.76,100,0
K55102BM9142,하나IT코리아증권자투자신탁 1[주식]ClassW,#국내주식형#IT펀드,1651.07,2017-07-18,액티브주식섹터,국내주식형,417,하나자산운용,2,높은 위험,3645.81,0,0,96.46,0.09,0.48,2.97,5.64,8.96,13.56,11.58,6.09,86.17,68.82,10.07,1713.8524986865548,2024-06-20,2.82,100,0
K55102BM9159,하나IT코리아증권자투자신탁 1[주식]ClassS,#국내주식형#S클래스#IT펀드,1598.42,2017-11-28,액티브주식섹터,국내주식형,7,하나자산운용,2,높은 위험,3645.81,0,0,96.46,0.09,0.48,2.97,5.62,8.88,13.38,11.24,5.12,93.18,61.61,9.92,1658.8978791687582,2024-06-20,2.8,100,0
K55102BN0660,하나파워e단기채증권모투자신탁[채권],#국내채권형#모펀드,1029.87,2017-03-10,일반채권,국내채권형,3667,하나자산운용,6,매우 낮은 위험,3776.1,39.22,0,0,0.00,10.31,50.47,0.41,1.21,2.46,4.95,10.91,14.29,19.72,2.26,1026.2505263157866,2024-06-20,-0.37,0,100
K55102BP4975,하나IT코리아증권자투자신탁 1[주식]ClassAG,#국내주식형#IT펀드,1741.84,2017-06-27,액티브주식섹터,국내주식형,0,하나자산운용,2,높은 위험,3645.81,0,0,96.46,0.09,0.48,2.97,5.61,8.87,13.35,11.16,4.9,92.54,75.51,9.88,1807.6184641209882,2024-06-20,2.79,100,0
K55102BP4983,하나IT코리아증권자투자신탁 1[주식]ClassCG,#국내주식형#IT펀드,1582.64,2017-11-03,액티브주식섹터,국내주식형,0,하나자산운용,2,높은 위험,3645.81,0,0,96.46,0.09,0.48,2.97,5.59,8.77,13.15,10.77,3.77,89.1,58.32,9.7,1641.7512641892313,2024-06-20,2.75,100,0
K55102BW7136,하나재팬코어플러스증권투자신탁[주식]ClassC-E,#해외주식형#배당주펀드#일본,1829.41,2017-11-27,일본주식,해외주식형,0,하나자산운용,3,다소 높은 위험,25.85,0,0,0,91.04,0,8.96,1.2,5.88,21.58,28.93,57.73,114.11,95.63,20.33,1929.3892347938988,2024-06-20,4.48,100,0
K55102BZ4403,하나유로하이일드증권자투자신탁[채권-재간접형]ClassC-PE,#해외채권형#연금저축#유럽,1207.03,2016-02-01,글로벌하이일드채권,해외채권형,0,하나자산운용,2,높은 위험,1.18,0,0,0,0.00,95.12,4.88,0.56,0.33,3.08,8.21,6.27,17.45,20.7,2.37,1215.4489473684198,2024-06-20,0.63,,
K55102C00157,하나글로벌4차산업1등주플러스증권모투자신탁[주식],#해외주식형#모펀드#4차산업,2663.83,2017-12-04,글로벌주식,해외주식형,409,하나자산운용,2,높은 위험,1089.73,0,0,2.77,93.11,3.2,0.92,8.04,12.53,30.04,40.22,36.23,168.14,173.78,28.14,2828.6472777184317,2024-06-20,5.81,100,0
