"fund_code","stock","stock_foreign","bond","bond_foreign","investment","etc"
K55101BA9725,0.0,0.0,99.53,0.0,1.39,0.0
K55101BA9733,0.0,0.0,99.53,0.0,1.39,0.0
K55101BA9741,0.0,0.0,99.53,0.0,1.39,0.0
K55101BB9567,0.0,91.96,0.0,0.0,2.61,5.43
K55101BB9575,0.0,91.96,0.0,0.0,2.61,5.43
K55101BD5035,0.0,93.92,0.0,0.0,3.33,2.75
K55101BD5043,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5076,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5092,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5118,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5134,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5159,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5175,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5217,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5233,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5282,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5290,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5308,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5316,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5324,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5332,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5340,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5365,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5373,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5399,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5407,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5696,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5704,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5720,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5738,0.0,86.82,0.0,0.0,3.08,10.1
K55101BD5761,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5779,0.0,87.48,0.0,0.0,3.1,9.42
K55101BD5787,0.0,87.48,0.0,0.0,3.1,9.42
K55101BE0852,1.98,0.0,0.0,0.0,24.66,73.36
K55101BF1693,37.05,0.0,30.85,0.0,7.24,24.86
K55101BF4176,0.0,91.96,0.0,0.0,2.61,5.43
K55101BF4184,0.0,91.96,0.0,0.0,2.61,5.43
K55101BF4200,0.0,91.96,0.0,0.0,2.61,5.43
K55101BG4597,97.79,0.0,0.0,0.0,0.48,1.73
K55101BH5320,0.0,0.0,99.53,0.0,1.39,0.0
K55101BI4108,0.0,0.0,0.0,0.0,30.16,69.84
K55101BI4561,90.11,0.0,0.0,0.0,4.16,5.73
K55101BJ5096,0.0,0.0,0.0,0.0,24.8,75.2
K55101BK3635,2.51,86.22,0.0,0.0,3.22,8.05
K55101BK6489,0.0,95.43,0.0,0.0,0.0,4.57
K55101BK6513,0.0,92.39,0.0,0.0,0.0,7.61
K55101BK6521,0.0,92.39,0.0,0.0,0.0,7.61
K55101BK6539,0.0,92.39,0.0,0.0,0.0,7.61
K55101BK6547,0.0,92.39,0.0,0.0,0.0,7.61
K55101BK6570,0.0,92.39,0.0,0.0,0.0,7.61
K55101BK6588,0.0,92.39,0.0,0.0,0.0,7.61
K55101BK6620,0.0,91.49,0.0,0.0,0.0,8.51
K55101BK6638,0.0,91.49,0.0,0.0,0.0,8.51
K55101BK6646,0.0,91.49,0.0,0.0,0.0,8.51
K55101BK6687,0.0,91.49,0.0,0.0,0.0,8.51
K55101BK6695,0.0,91.49,0.0,0.0,0.0,8.51
K55101BK6778,0.0,0.0,0.0,0.0,96.55,3.45
K55101BK6786,0.0,0.0,0.0,0.0,96.55,3.45
K55101BK6794,0.0,0.0,0.0,0.0,96.55,3.45
K55101BK6802,0.0,0.0,0.0,0.0,96.55,3.45
K55101BK6828,0.0,0.0,0.0,0.0,96.55,3.45
K55101BK6836,0.0,0.0,0.0,0.0,96.55,3.45
K55101BK6851,0.0,0.0,0.0,0.0,96.55,3.45
K55101BK6869,0.0,0.0,0.0,0.0,96.55,3.45
K55101BK6877,0.0,0.0,0.0,0.0,96.55,3.45
K55101BL2636,0.0,92.39,0.0,0.0,0.0,7.61
K55101BL2644,0.0,92.39,0.0,0.0,0.0,7.61
K55101BL2651,0.0,91.49,0.0,0.0,0.0,8.51
K55101BL2669,0.0,91.49,0.0,0.0,0.0,8.51
K55101BL2982,0.0,0.0,62.48,0.0,0.94,36.58
K55101BM0357,92.96,0.0,0.0,0.0,3.88,3.16
K55101BM2890,0.0,0.0,35.78,0.0,18.12,46.1
K55101BP0727,97.79,0.0,0.0,0.0,0.48,1.73
K55101BP1063,90.06,0.0,0.0,0.0,1.2,8.74
K55101BP1816,0.0,92.42,0.0,0.0,2.62,4.96
K55101BP1824,0.0,92.42,0.0,0.0,2.62,4.96
K55101BP1840,0.0,89.5,0.0,0.0,2.54,7.96
K55101BP2269,92.96,0.0,0.0,0.0,3.88,3.16
K55101BP2277,0.0,89.96,0.0,0.0,1.12,8.92
K55101BP2285,0.0,89.96,0.0,0.0,1.12,8.92
K55101BQ0585,97.67,0.0,0.0,0.0,0.0,2.33
K55101BQ0593,97.8,0.0,0.0,0.0,0.0,2.2
K55101BS3561,97.51,0.0,0.0,0.0,0.8,1.69
K55101BS3579,97.51,0.0,0.0,0.0,0.8,1.69
K55101BS3587,97.51,0.0,0.0,0.0,0.8,1.69
K55101BS9170,97.51,0.0,0.0,0.0,0.8,1.69
K55101BT3974,2.51,86.22,0.0,0.0,3.22,8.05
K55101BT4337,0.0,86.82,0.0,0.0,3.08,10.1
K55101BT4360,0.0,87.48,0.0,0.0,3.1,9.42
K55101BT4451,2.53,86.74,0.0,0.0,3.24,7.49
K55101BT5441,0.0,92.39,0.0,0.0,0.0,7.61
K55101BT5458,0.0,92.39,0.0,0.0,0.0,7.61
K55101BT5581,0.0,91.49,0.0,0.0,0.0,8.51
K55101BT5599,0.0,91.49,0.0,0.0,0.0,8.51
K55101BT5607,38.17,0.0,29.0,0.0,5.45,27.38
K55101BT5615,36.19,0.0,30.63,0.0,7.18,26.0
K55101BT5623,37.05,0.0,30.85,0.0,7.24,24.86
K55101BT5672,39.11,0.0,28.25,0.0,5.21,27.43
K55101BT5714,0.0,0.0,51.88,0.0,9.57,38.55
K55101BT5730,36.34,0.0,37.56,0.0,3.01,23.09
K55101BT5748,36.34,0.0,37.56,0.0,3.01,23.09
K55101BT5755,34.63,0.0,29.3,0.0,6.98,29.09
K55101BT5771,34.63,0.0,29.3,0.0,6.98,29.09
K55101BT7249,0.0,0.0,99.53,0.0,1.39,0.0
K55101BT7256,0.0,0.0,99.53,0.0,1.39,0.0
K55101BT7264,0.0,0.0,99.53,0.0,1.39,0.0
K55101BT7272,0.0,0.0,99.53,0.0,1.39,0.0
K55101BT7421,0.0,0.0,0.0,0.0,96.55,3.45
K55101BT7439,0.0,0.0,0.0,0.0,96.55,3.45
K55101BT7462,0.0,91.96,0.0,0.0,2.61,5.43
K55101BT7488,92.96,0.0,0.0,0.0,3.88,3.16
K55101BT7496,89.48,0.0,0.0,0.0,3.78,6.74
K55101BU1595,97.81,0.0,0.0,0.0,0.26,1.93
K55101BU2759,17.98,75.65,0.0,0.0,0.0,6.37
K55101BV0893,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV0901,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV0919,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV0927,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV0950,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV0968,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV0976,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV0984,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV0992,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV1008,97.7,0.0,0.0,0.0,0.3,2.0
K55101BV3533,2.51,86.21,0.0,0.0,3.22,8.06
K55101BV3541,2.51,86.21,0.0,0.0,3.22,8.06
K55101BV3558,2.47,84.66,0.0,0.0,3.17,9.7
K55101BV7658,83.97,0.0,0.0,0.0,1.11,14.92
K55101BV9613,0.0,85.79,0.0,0.0,2.18,12.03
K55101BV9621,0.0,85.34,0.0,0.0,2.17,12.49
K55101BV9654,97.5,0.0,0.0,0.0,0.0,2.5
K55101BV9688,80.9,0.0,0.0,0.0,1.07,18.03
K55101BV9704,9.06,0.0,56.49,0.0,2.6,31.85
K55101BV9712,9.06,0.0,56.49,0.0,2.6,31.85
K55101BV9761,34.99,0.0,35.35,0.0,2.98,26.68
K55101BV9795,36.16,0.0,37.47,0.0,3.0,23.37
K55101BV9811,26.75,0.0,43.77,0.0,2.85,26.63
K55101BW4969,93.1,0.0,0.0,0.0,1.29,5.61
K55101BW5016,97.9,0.0,0.0,0.0,0.0,2.1
K55101BW5024,97.9,0.0,0.0,0.0,0.0,2.1
K55101BW5156,90.06,0.0,0.0,0.0,1.2,8.74
K55101BW5164,81.46,0.0,0.0,0.0,1.08,17.46
K55101BW5180,91.14,0.0,0.0,0.0,0.0,8.86
K55101BW5206,87.09,0.0,0.0,0.0,3.97,8.94
K55101BW5214,27.24,0.0,43.82,0.0,2.87,26.07
K55101BW5222,27.24,0.0,43.82,0.0,2.87,26.07
K55101BW5255,39.07,0.0,34.38,0.0,1.35,25.2
K55101BW5305,96.21,0.0,0.0,0.0,0.0,3.79
K55101BW5925,0.0,0.0,0.0,0.0,19.16,80.84
K55101BW9851,11.23,70.72,0.0,0.0,6.48,11.57
K55101BW9885,11.23,70.72,0.0,0.0,6.48,11.57
K55101BW9927,11.23,70.72,0.0,0.0,6.48,11.57
K55101BW9950,11.23,70.72,0.0,0.0,6.48,11.57
K55101BW9968,11.23,70.72,0.0,0.0,6.48,11.57
K55101BX0115,11.23,70.72,0.0,0.0,6.48,11.57
K55101BX0131,11.23,70.72,0.0,0.0,6.48,11.57
K55101BX0164,11.23,70.72,0.0,0.0,6.48,11.57
K55101BX0172,11.23,70.72,0.0,0.0,6.48,11.57
K55101BX3978,11.23,70.72,0.0,0.0,6.48,11.57
K55101BX3986,11.23,70.72,0.0,0.0,6.48,11.57
K55101BX3994,11.23,70.72,0.0,0.0,6.48,11.57
K55101BX5403,2.48,85.23,0.0,0.0,3.19,9.1
K55101BX6377,98.46,0.0,0.0,0.0,0.0,1.54
K55101BX6468,32.83,0.0,36.14,0.0,1.85,29.18
K55101BX6476,32.83,0.0,36.14,0.0,1.85,29.18
K55101BX9207,83.17,0.0,0.0,0.0,1.59,15.24
K55101BX9462,97.34,0.0,0.0,0.0,0.0,2.66
K55101BY2078,0.0,0.0,0.0,0.0,96.25,3.75
K55101BY4603,0.0,0.0,0.0,0.0,94.86,5.14
K55101BY4645,0.0,0.0,0.0,0.0,94.86,5.14
K55101BY4652,0.0,0.0,0.0,0.0,94.86,5.14
K55101BY4694,0.0,0.0,0.0,0.0,94.86,5.14
K55101BY4710,0.0,0.0,0.0,0.0,94.86,5.14
K55101BY4728,0.0,0.0,0.0,0.0,94.86,5.14
K55101BY4785,0.0,0.0,0.0,0.0,94.86,5.14
K55101BY4843,0.0,0.0,0.0,0.0,94.86,5.14
K55101BY4850,0.0,0.0,0.0,0.0,94.86,5.14
K55101BY4868,0.0,0.0,0.0,0.0,95.55,4.45
K55101BY4876,0.0,0.0,0.0,0.0,95.55,4.45
K55101BY4884,0.0,0.0,0.0,0.0,95.55,4.45
K55101BY4918,0.0,0.0,0.0,0.0,95.55,4.45
K55101BZ1061,0.0,92.81,0.0,0.0,0.0,7.19
K55101BZ1079,0.0,92.81,0.0,0.0,0.0,7.19
K55101BZ1087,0.0,92.81,0.0,0.0,0.0,7.19
K55101BZ4370,82.31,0.0,0.0,0.0,1.09,16.6
K55101BZ6581,97.34,0.0,0.0,0.0,0.0,2.66
K55101BZ6870,38.17,0.0,29.0,0.0,5.45,27.38
K55101C09192,0.0,89.96,0.0,0.0,1.12,8.92
K55101C12907,0.0,0.0,0.0,0.0,82.31,17.69
K55101C12915,0.0,0.0,0.0,0.0,82.31,17.69
K55101C12923,0.0,0.0,0.0,0.0,82.31,17.69
K55101C12931,0.0,0.0,0.0,0.0,82.31,17.69
K55101C12949,0.0,0.0,0.0,0.0,82.31,17.69
K55101C12964,0.0,0.0,0.0,0.0,82.31,17.69
K55101C12972,0.0,0.0,0.0,0.0,82.31,17.69
K55101C29141,97.81,0.0,0.0,0.0,0.3,1.89
K55101C31949,0.0,0.0,0.0,0.0,11.64,88.36
K55101C35296,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35304,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35312,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35338,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35346,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35379,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35387,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35395,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35403,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35411,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35429,89.21,0.0,0.0,0.0,4.35,6.44
K55101C35437,89.21,0.0,0.0,0.0,4.35,6.44
K55101C38472,0.0,89.96,0.0,0.0,1.12,8.92
K55101C51400,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51418,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51426,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51475,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51483,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51491,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51525,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51541,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51558,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51574,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51608,0.0,78.76,0.0,0.0,16.24,5.0
K55101C51624,0.0,78.76,0.0,0.0,16.24,5.0
K55101C53182,0.0,0.0,61.49,0.0,0.04,38.47
K55101C63975,83.17,0.0,0.0,0.0,1.59,15.24
K55101C64015,83.17,0.0,0.0,0.0,1.59,15.24
K55101C64023,83.17,0.0,0.0,0.0,1.59,15.24
K55101C70822,11.23,70.72,0.0,0.0,6.48,11.57
K55101C70830,11.23,70.72,0.0,0.0,6.48,11.57
K55101C81241,0.0,91.49,0.0,0.0,0.0,8.51
K55101C81266,0.0,92.39,0.0,0.0,0.0,7.61
K55101C81290,0.0,92.39,0.0,0.0,0.0,7.61
K55101C81324,0.0,91.49,0.0,0.0,0.0,8.51
K55101CA2687,11.23,70.72,0.0,0.0,6.48,11.57
K55101CA2695,11.23,70.72,0.0,0.0,6.48,11.57
K55101CC0358,0.0,0.0,61.49,0.0,0.04,38.47
K55101CC3048,95.9,0.0,0.0,0.0,0.78,3.32
K55101CC3162,0.0,0.0,61.49,0.0,0.04,38.47
K55101CC3188,0.0,0.0,61.49,0.0,0.04,38.47
K55101CC3196,0.0,0.0,61.49,0.0,0.04,38.47
K55101CC3204,0.0,0.0,61.49,0.0,0.04,38.47
K55101CC5514,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5522,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5530,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5555,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5563,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5571,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5597,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5605,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5613,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5621,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5639,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5647,0.0,0.0,90.89,0.0,1.37,7.74
K55101CC5654,0.0,0.0,90.89,0.0,1.37,7.74
K55101CF3110,0.0,84.09,0.0,0.0,14.71,1.2
K55101CI9593,0.0,0.0,0.0,0.0,94.23,5.77
K55101CI9601,0.0,0.0,0.0,0.0,97.1,2.9
K55101CL1629,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1637,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1645,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1660,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1702,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1736,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1744,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1751,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1769,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1777,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL1801,5.72,12.12,0.0,0.0,74.35,7.81
K55101CL7329,96.53,0.0,0.0,0.0,1.03,2.44
K55101CL7337,95.81,0.0,0.0,0.0,1.34,2.85
K55101CL7345,97.09,0.0,0.0,0.0,0.66,2.25
K55101CO7581,0.0,85.79,0.0,0.0,2.18,12.03
K55101CP7606,0.0,0.0,0.0,0.0,94.99,5.01
K55101CP7614,0.0,0.0,0.0,0.0,94.99,5.01
K55101CP7622,0.0,0.0,0.0,0.0,94.99,5.01
K55101CP7630,0.0,0.0,0.0,0.0,94.99,5.01
K55101CP7648,0.0,0.0,0.0,0.0,94.99,5.01
K55101CR8792,0.0,0.0,0.0,94.72,0.0,5.28
K55101CR8800,0.0,0.0,0.0,93.43,0.0,6.57
K55101CR8818,0.0,0.0,0.0,93.43,0.0,6.57
K55101CR8859,0.0,0.0,0.0,93.43,0.0,6.57
K55101CR8867,0.0,0.0,0.0,93.43,0.0,6.57
K55101CR8875,0.0,0.0,0.0,93.43,0.0,6.57
K55101CS2265,84.73,0.0,0.0,0.0,1.61,13.66
K55101CS3818,0.0,0.0,0.0,0.0,94.99,5.01
K55101CS3826,0.0,0.0,0.0,0.0,94.99,5.01
K55101CS3867,0.0,0.0,0.0,0.0,94.99,5.01
K55101CT6711,97.0,0.0,0.0,0.0,0.0,3.0
K55101CU3608,0.0,0.0,61.49,0.0,0.04,38.47
K55101CU3624,0.0,0.0,61.49,0.0,0.04,38.47
K55101CU3632,0.0,0.0,61.49,0.0,0.04,38.47
K55101CX0049,0.0,0.0,99.53,0.0,1.39,0.0
K55101CY2085,0.0,0.0,0.0,0.0,94.86,5.14
K55101CY2903,0.0,0.0,0.0,0.0,96.55,3.45
K55101D06758,0.0,91.96,0.0,0.0,2.61,5.43
K55101D18860,38.17,0.0,29.0,0.0,5.45,27.38
K55101D18878,97.81,0.0,0.0,0.0,0.26,1.93
K55101D20544,0.0,95.62,0.0,0.0,1.79,2.59
K55101D20551,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20569,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20577,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20593,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20601,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20619,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20627,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20635,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20643,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20668,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20676,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20684,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20692,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20700,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20718,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20726,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20734,0.0,89.2,0.0,0.0,1.67,9.13
K55101D20742,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20759,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20767,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20783,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20791,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20817,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20825,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20833,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20866,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20874,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20882,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20890,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20908,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20916,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20924,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20932,0.0,91.59,0.0,0.0,1.71,6.7
K55101D20940,0.0,91.6,0.0,0.0,1.71,6.69
K55101D20957,0.0,91.6,0.0,0.0,1.71,6.69
K55101D20965,0.0,91.6,0.0,0.0,1.71,6.69
K55101D20981,0.0,91.6,0.0,0.0,1.71,6.69
K55101D20999,0.0,91.6,0.0,0.0,1.71,6.69
K55101D21005,0.0,91.6,0.0,0.0,1.71,6.69
K55101D21021,0.0,91.6,0.0,0.0,1.71,6.69
K55101D21633,0.0,0.0,99.53,0.0,1.39,0.0
K55101D21690,0.0,92.81,0.0,0.0,0.0,7.19
K55101D21708,0.0,92.81,0.0,0.0,0.0,7.19
K55101D21716,0.0,92.81,0.0,0.0,0.0,7.19
K55101D32689,99.07,0.0,0.0,0.0,0.0,0.93
K55101D34156,0.0,0.0,105.79,0.0,15.74,0.0
K55101D41516,99.19,0.0,0.0,0.0,0.0,0.81
K55101D58569,0.0,0.0,0.0,0.0,93.18,6.82
K55101D58577,0.0,0.0,0.0,0.0,93.18,6.82
K55101D58585,0.0,0.0,0.0,0.0,93.18,6.82
K55101D58593,0.0,0.0,0.0,0.0,93.18,6.82
K55101D58601,0.0,0.0,0.0,0.0,93.18,6.82
K55101D58627,0.0,0.0,0.0,0.0,93.18,6.82
K55101D58635,0.0,0.0,0.0,0.0,93.18,6.82
K55101D58650,0.0,0.0,0.0,0.0,93.18,6.82
K55101D58668,0.0,0.0,0.0,0.0,93.18,6.82
K55101D59807,0.0,0.0,0.0,0.0,93.18,6.82
K55101D59815,0.0,0.0,0.0,0.0,93.18,6.82
K55101D59823,0.0,0.0,0.0,0.0,93.18,6.82
K55101D78195,0.0,85.1,0.0,0.0,7.58,7.32
K55101DB1182,0.0,90.73,0.0,0.0,5.04,4.23
K55101DB6215,0.0,0.0,0.0,0.0,15.62,84.38
K55101DC5406,0.0,85.63,0.0,0.0,10.43,3.94
K55101DE1973,11.23,70.72,0.0,0.0,6.48,11.57
K55101DF4463,91.14,0.0,0.0,0.0,0.0,8.86
K55101DF4471,91.14,0.0,0.0,0.0,0.0,8.86
K55101DF5130,97.34,0.0,0.0,0.0,0.0,2.66
K55101DF5155,97.34,0.0,0.0,0.0,0.0,2.66
K55101DF5171,97.34,0.0,0.0,0.0,0.0,2.66
K55101DF6443,98.46,0.0,0.0,0.0,0.0,1.54
K55101DF6468,98.46,0.0,0.0,0.0,0.0,1.54
K55101DH2341,98.62,0.0,0.0,0.0,0.0,1.38
K55101DH2820,0.0,0.0,128.12,0.0,5.12,0.0
K55101DH2887,0.0,0.0,128.12,0.0,5.12,0.0
